행정동_코드,행정동_코드_명,자치구,lat,lon,실제_소비액_분기,기대_소비액_분기,소비_격차_금액,소비_격차_비율_pct,잔차_로그,잔차_ZScore,인프라_규모_지수,상권_분류_유형,총_상주인구_수,총_직장_인구_수,총_유동인구_수,집객시설_수,지하철_역_수,아파트_평균_시가
11140635,약수동,중구,37.55014822684117,127.0102867299519,2914687000.0,4721939123.0,-1807252123.0,-38.27,-0.4825,-0.626,-0.314,소비 위축 지역 (Low Activity),16086.0,13696.0,1913966.0,87.0,2.0,382587628.0
11140645,청구동,중구,37.55687815267039,127.01518815511604,1231861250.0,1200183612.0,31677638.0,2.64,0.0261,0.034,-0.943,균형 상권 (Balanced),12955.0,2178.0,2836370.0,34.0,0.0,433917253.0
11140650,신당5동,중구,37.56363458123807,127.0218674854035,2901572000.0,2679636419.0,221935581.0,8.28,0.0796,0.103,-0.822,균형 상권 (Balanced),10151.0,622.0,3224626.0,65.0,0.0,382417416.0
11140665,동화동,중구,37.560706894007495,127.01865228045584,1614787500.0,2408156867.0,-793369367.0,-32.95,-0.3997,-0.519,-0.863,소비 위축 지역 (Low Activity),9941.0,1303.0,3529983.0,47.0,2.0,562530704.0
11140670,황학동,중구,37.56853618353088,127.02085017986909,4258737000.0,5928065366.0,-1669328366.0,-28.16,-0.3307,-0.429,-0.403,소비 위축 지역 (Low Activity),12685.0,796.0,5682035.0,76.0,0.0,320745114.0
11140680,중림동,중구,37.55734276311024,126.96603581524248,2926759500.0,3397277766.0,-470518266.0,-13.85,-0.1491,-0.194,-0.629,균형 상권 (Balanced),12142.0,3863.0,1988531.0,77.0,0.0,368461445.0
11170510,후암동,용산구,37.54990381408421,126.98061483959788,2317493250.0,3067578476.0,-750085226.0,-24.45,-0.2804,-0.364,-0.325,균형 상권 (Balanced),16020.0,1885.0,3913435.0,80.0,0.0,292755194.0
11170520,용산2가동,용산구,37.537912160148856,126.98507593025204,145816282250.0,1720325258.0,144095956992.0,8376.09,4.4398,5.765,-0.77,골목 로컬 핫플레이스 (Niche Hotspot),8866.0,479.0,4744845.0,63.0,1.0,204859436.0
11170530,남영동,용산구,37.544028208171056,126.97482276913377,51285241000.0,11362146628.0,39923094372.0,351.37,1.5071,1.957,-0.327,골목 로컬 핫플레이스 (Niche Hotspot),6819.0,18490.0,1999106.0,147.0,3.0,398414266.0
11170555,청파동,용산구,37.54758518372214,126.9668436893749,3257262250.0,6477188889.0,-3219926639.0,-49.71,-0.6874,-0.893,0.292,소비 잠재력 상권 (High Potential),18842.0,3226.0,7375702.0,128.0,0.0,244172572.0
11170560,원효로1동,용산구,37.537493906721416,126.96655397782294,3018878750.0,4923294968.0,-1904416218.0,-38.68,-0.4891,-0.635,-0.076,소비 위축 지역 (Low Activity),16956.0,2961.0,4912044.0,94.0,0.0,423991122.0
11170570,원효로2동,용산구,37.53384903090399,126.95245827364532,1076695500.0,3255072701.0,-2178377201.0,-66.92,-1.1063,-1.436,-0.431,소비 위축 지역 (Low Activity),13626.0,3004.0,3646041.0,69.0,0.0,462855465.0
11170580,효창동,용산구,37.542808082601326,126.96093915346631,1025695750.0,2582844842.0,-1557149092.0,-60.29,-0.9235,-1.199,-0.633,소비 위축 지역 (Low Activity),10665.0,1419.0,3736844.0,66.0,2.0,342185373.0
11170590,용문동,용산구,37.537977894354526,126.95850901385698,1581457500.0,1409822737.0,171634763.0,12.17,0.1149,0.149,-0.794,균형 상권 (Balanced),11380.0,3079.0,2351714.0,54.0,0.0,323872688.0
11170625,한강로동,용산구,37.52912416764973,126.96859411957044,34729707000.0,40887015719.0,-6157308719.0,-15.06,-0.1632,-0.212,0.918,균형 상권 (Balanced),20977.0,58448.0,5702038.0,242.0,7.0,780899618.0
11170630,이촌1동,용산구,37.51517744414727,126.9717558041162,2913881250.0,11080647730.0,-8166766480.0,-73.7,-1.3357,-1.734,0.164,소비 잠재력 상권 (High Potential),24933.0,5907.0,4469922.0,102.0,0.0,1448413885.0
11170640,이촌2동,용산구,37.52285750115803,126.95420736020796,450698750.0,800641133.0,-349942383.0,-43.71,-0.5746,-0.746,-1.533,소비 위축 지역 (Low Activity),7870.0,2035.0,1477127.0,26.0,0.0,541443092.0
11170650,이태원1동,용산구,37.53336285660898,126.99324554325972,9433768000.0,6367753404.0,3066014596.0,48.15,0.393,0.51,-0.659,골목 로컬 핫플레이스 (Niche Hotspot),6015.0,18302.0,2472440.0,71.0,1.0,632786445.0
11170660,이태원2동,용산구,37.54176010616265,126.9920566827956,1960909000.0,3354703866.0,-1393794866.0,-41.55,-0.537,-0.697,-0.926,소비 위축 지역 (Low Activity),8657.0,875.0,2875978.0,60.0,0.0,436270648.0
11170685,한남동,용산구,37.5375255598216,127.00517078444392,11982016250.0,22928682864.0,-10946666614.0,-47.74,-0.649,-0.843,0.541,소비 잠재력 상권 (High Potential),17711.0,45554.0,4367253.0,171.0,2.0,1309674189.0
11170690,서빙고동,용산구,37.51963125792497,126.98891431424948,1759217500.0,2439237969.0,-680020469.0,-27.88,-0.3268,-0.424,-0.674,소비 위축 지역 (Low Activity),12443.0,10106.0,1710274.0,61.0,1.0,931218213.0
11170700,보광동,용산구,37.52688484537797,127.0009050415568,1195209750.0,2149366602.0,-954156852.0,-44.39,-0.5869,-0.762,-0.979,소비 위축 지역 (Low Activity),11134.0,254.0,2395791.0,70.0,0.0,751925365.0
11200520,왕십리2동,성동구,37.56145293830574,127.02772969813616,2220098500.0,1842697002.0,377401498.0,20.48,0.1863,0.242,-0.44,균형 상권 (Balanced),15974.0,1287.0,4487876.0,63.0,1.0,474130064.0
11200535,왕십리도선동,성동구,37.56684945211883,127.02959934343136,8196440250.0,10835482719.0,-2639042469.0,-24.36,-0.2791,-0.362,0.49,균형 상권 (Balanced),26181.0,3005.0,5487251.0,189.0,0.0,658527615.0
11200540,마장동,성동구,37.56741380833115,127.0406017762261,4723537000.0,7596123170.0,-2872586170.0,-37.82,-0.4751,-0.617,0.209,소비 잠재력 상권 (High Potential),21556.0,6924.0,4931273.0,111.0,1.0,313147656.0
11200550,사근동,성동구,37.55812278899823,127.04539545602,5728153750.0,5097245478.0,630908272.0,12.38,0.1167,0.152,-0.347,균형 상권 (Balanced),11936.0,438.0,4330812.0,128.0,2.0,170903029.0
11200560,행당1동,성동구,37.55909004189771,127.0361719656748,7753781750.0,8410665794.0,-656884044.0,-7.81,-0.0813,-0.106,0.02,균형 상권 (Balanced),13629.0,1709.0,6119464.0,130.0,4.0,483661187.0
11200570,행당2동,성동구,37.5566771867754,127.02965190700264,1737949250.0,1398962315.0,338986935.0,24.23,0.217,0.282,-0.913,균형 상권 (Balanced),22851.0,3.0,4522878.0,79.0,1.0,645518275.0
11200580,응봉동,성동구,37.55088267778024,127.0337236035604,496170250.0,1078950917.0,-582780667.0,-54.01,-0.7768,-1.009,-0.832,소비 위축 지역 (Low Activity),14940.0,542.0,2715983.0,56.0,1.0,269799393.0
11200590,금호1가동,성동구,37.55358784630584,127.02497673950828,1420875000.0,2015174418.0,-594299418.0,-29.49,-0.3494,-0.454,-0.4,소비 위축 지역 (Low Activity),14750.0,1732.0,3192809.0,88.0,1.0,308385556.0
11200615,금호2?3가동,성동구,37.5513993732278,127.01997401737138,2721913250.0,4144958760.0,-1423045510.0,-34.33,-0.4206,-0.546,-0.055,소비 위축 지역 (Low Activity),21946.0,244.0,5610458.0,135.0,0.0,365230604.0
11200620,금호4가동,성동구,37.54538892972044,127.02415926514722,3118017000.0,3310471492.0,-192454492.0,-5.81,-0.0599,-0.078,-0.673,균형 상권 (Balanced),14142.0,507.0,2617483.0,84.0,1.0,803074557.0
11200645,옥수동,성동구,37.540848569825286,127.02058221940472,3932126750.0,5101410681.0,-1169283931.0,-22.92,-0.2603,-0.338,0.037,균형 상권 (Balanced),25399.0,3197.0,2868578.0,129.0,2.0,884172349.0
11200650,성수1가1동,성동구,37.54078874107653,127.0422619717796,3258161500.0,3790469787.0,-532308287.0,-14.04,-0.1513,-0.196,-0.34,균형 상권 (Balanced),15394.0,3325.0,3118958.0,83.0,1.0,736732428.0
11200660,성수1가2동,성동구,37.5490143598074,127.0436472117351,20664076750.0,8274260303.0,12389816447.0,149.74,0.9152,1.188,-0.115,골목 로컬 핫플레이스 (Niche Hotspot),11932.0,8657.0,5555665.0,79.0,1.0,465824238.0
11200670,성수2가1동,성동구,37.53635043227752,127.05530502567484,8216624250.0,7463989370.0,752634880.0,10.08,0.0961,0.125,0.06,균형 상권 (Balanced),14544.0,7660.0,4927575.0,109.0,0.0,579181643.0
11200690,성수2가3동,성동구,37.54556632538986,127.05808421418728,18067198750.0,18990732650.0,-923533900.0,-4.86,-0.0499,-0.065,0.132,균형 상권 (Balanced),10021.0,31123.0,5780054.0,104.0,1.0,394279969.0
11200720,송정동,성동구,37.55150820919662,127.06697246477096,870841000.0,1296799583.0,-425958583.0,-32.85,-0.3982,-0.517,-1.011,소비 위축 지역 (Low Activity),9719.0,748.0,3214976.0,44.0,0.0,229184261.0
11200790,용답동,성동구,37.55891941552393,127.0574720957508,17048551500.0,4337256852.0,12711294648.0,293.07,1.3688,1.777,-0.491,골목 로컬 핫플레이스 (Niche Hotspot),11809.0,2556.0,3052308.0,82.0,2.0,255078831.0
11215710,화양동,광진구,37.54326926538935,127.07339229382966,19530988500.0,10115001564.0,9415986936.0,93.09,0.658,0.854,0.443,초과 달성 핫스팟 (Super-Hub),24821.0,872.0,8934240.0,167.0,2.0,148077507.0
11215730,군자동,광진구,37.5530449035526,127.0737074372354,6502511750.0,7659538266.0,-1157026516.0,-15.11,-0.1638,-0.213,0.135,균형 상권 (Balanced),19048.0,1002.0,6655412.0,135.0,0.0,206472588.0
11215740,중곡1동,광진구,37.56209737181454,127.07768909152678,5500819750.0,2328382719.0,3172437031.0,136.25,0.8597,1.116,-0.325,골목 로컬 핫플레이스 (Niche Hotspot),15218.0,3866.0,3616944.0,74.0,0.0,188044024.0
11215750,중곡2동,광진구,37.55891211949285,127.08457835917312,3941325750.0,5892948593.0,-1951622843.0,-33.12,-0.4022,-0.522,-0.017,소비 위축 지역 (Low Activity),20512.0,2251.0,4538698.0,104.0,2.0,185506401.0
11215760,중곡3동,광진구,37.5679148770036,127.08201907488169,2432698250.0,2963107483.0,-530409233.0,-17.9,-0.1972,-0.256,-0.337,균형 상권 (Balanced),15681.0,515.0,4598012.0,97.0,1.0,176263103.0
11215770,중곡4동,광진구,37.56387809623577,127.09449907328482,3838938250.0,4607288897.0,-768350647.0,-16.68,-0.1824,-0.237,0.263,균형 상권 (Balanced),27499.0,2743.0,6415960.0,105.0,0.0,170253171.0
11215780,능동,광진구,37.55058887039526,127.08178506993116,6094311250.0,1460960848.0,4633350402.0,317.14,1.4283,1.854,-1.019,골목 로컬 핫플레이스 (Niche Hotspot),11053.0,1414.0,2089426.0,47.0,1.0,203223348.0
11215810,광장동,광진구,37.54782272294704,127.10470862656273,6006645250.0,12692823733.0,-6686178483.0,-52.68,-0.7482,-0.971,0.622,소비 잠재력 상권 (High Potential),33964.0,8850.0,6227704.0,139.0,1.0,701037200.0
11215820,자양1동,광진구,37.53558814490071,127.08045622273272,6805857000.0,9012012776.0,-2206155776.0,-24.48,-0.2808,-0.365,0.436,균형 상권 (Balanced),21795.0,11952.0,7714602.0,106.0,0.0,208444504.0
11215830,자양2동,광진구,37.52909935606437,127.0827458629586,3912722000.0,3754742504.0,157979496.0,4.21,0.0412,0.054,0.055,균형 상권 (Balanced),23591.0,2506.0,5148039.0,95.0,0.0,266950759.0
11215840,자양3동,광진구,37.53136850519804,127.07101606905556,4905074750.0,6911354060.0,-2006279310.0,-29.03,-0.3429,-0.445,0.212,소비 잠재력 상권 (High Potential),27193.0,1753.0,6585016.0,105.0,0.0,503185054.0
11215847,자양4동,광진구,37.53375136428935,127.06361893678418,8709155250.0,5329894755.0,3379260495.0,63.4,0.491,0.638,0.051,초과 달성 핫스팟 (Super-Hub),19815.0,513.0,8723210.0,106.0,1.0,259534026.0
11215850,구의1동,광진구,37.5415038189961,127.08598440880375,4538727750.0,5478942452.0,-940214702.0,-17.16,-0.1883,-0.244,0.064,균형 상권 (Balanced),21448.0,3506.0,6794360.0,77.0,1.0,182840088.0
11215860,구의2동,광진구,37.5511016720589,127.09485639020176,4702124000.0,5043297070.0,-341173070.0,-6.76,-0.07,-0.091,0.171,균형 상권 (Balanced),25468.0,2960.0,4932355.0,112.0,1.0,218482807.0
11215870,구의3동,광진구,37.536956490128944,127.0942274848412,10048895000.0,9820313203.0,228581797.0,2.33,0.023,0.03,0.556,균형 상권 (Balanced),27836.0,11355.0,6256684.0,133.0,1.0,306329165.0
11230536,용신동,동대문구,37.57556132503958,127.03245552682628,13412273250.0,25687257055.0,-12274983805.0,-47.79,-0.6498,-0.844,1.341,소비 잠재력 상권 (High Potential),38362.0,18615.0,14066266.0,231.0,5.0,263764070.0
11230545,제기동,동대문구,37.58374995175625,127.03722548288243,11847453500.0,20104445990.0,-8256992490.0,-41.07,-0.5288,-0.687,0.987,소비 잠재력 상권 (High Potential),22962.0,3687.0,12002904.0,288.0,1.0,199334932.0
11230560,전농1동,동대문구,37.57922183565485,127.05095551957608,6775495750.0,5870793218.0,904702532.0,15.41,0.1433,0.186,0.456,균형 상권 (Balanced),32107.0,308.0,11256889.0,152.0,3.0,298148257.0
11230570,전농2동,동대문구,37.58069463875391,127.06112292051264,1684850000.0,3533778592.0,-1848928592.0,-52.32,-0.7407,-0.962,-0.487,소비 위축 지역 (Low Activity),17954.0,713.0,2324346.0,102.0,0.0,385704055.0
