행정동_코드,행정동_코드_명,자치구,lat,lon,영역_면적,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,시간대_11_14_유동인구_수,시간대_17_21_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가,아파트_가격_6_억_이상_세대_수,병원_약국_수,주말_유동인구_수,주중_유동인구_수
11110640,이화동,종로구,37.57971933130445,127.00302270933423,782395,9337710500.0,1101422000.0,172106750.0,39367250.0,2902932000.0,24876000.0,1581558500.0,129634250.0,308897500.0,131346250.0,2945570000.0,6891.0,3277.0,3614.0,487.0,1496.0,1219.0,792.0,1000.0,1897.0,4206.0,0.0,1632.0,904.0,728.0,239.0,418.0,428.0,343.0,4641848.25,2068989.5,2572858.75,1094400.0,886852.75,766398.75,680020.0,760278.25,920712.75,649268.5,683930.75,714314.25,705460.0,696055.5,619353.0,573465.5,119.0,4.0,4.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,28.0,212.0,47.0,133464799.0,0.0,12.0,1192818.5,3449029.0
11110650,혜화동,종로구,37.58746788473727,126.99742986464302,1132421,10266359500.0,1766835250.0,151382000.0,17209750.0,1966052500.0,36513750.0,256969500.0,362309000.0,660434750.0,489980500.0,4558672500.0,15833.0,7605.0,8228.0,1689.0,4273.0,2038.0,1904.0,2304.0,3625.0,9092.0,0.0,4377.0,2131.0,2246.0,697.0,1211.0,1077.0,881.0,8865268.0,3885865.25,4979402.75,3198090.25,1072019.25,1020029.75,994754.25,1134242.0,1611180.75,1224728.75,1251962.25,1273668.25,1272937.75,1271722.0,1298352.75,1271897.25,145.0,6.0,5.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,36.0,308.0,57.0,189567695.0,51.0,16.0,2570250.0,6295019.0
11110670,창신1동,종로구,37.5723664484761,127.01379895274418,305337,2809009750.0,484853000.0,164001250.0,13250250.0,665967000.0,1998750.0,52118250.0,99075500.0,364518250.0,132874000.0,830353500.0,4523.0,2397.0,2126.0,280.0,522.0,621.0,501.0,840.0,1759.0,2628.0,0.0,1733.0,744.0,989.0,30.0,288.0,613.0,492.0,2828471.5,1388454.75,1440016.5,429606.25,419100.25,475996.5,532336.5,396570.0,453776.75,416079.0,415631.75,416362.75,416229.25,408015.75,376535.0,379617.75,111.0,3.0,4.0,0.0,0.0,9.0,0.0,1.0,0.0,7.0,2.0,11.0,24.0,48.0,210739429.0,15.0,9.0,756152.75,2072318.5
11110680,창신2동,종로구,37.57602485406751,127.01018840445342,257323,1225232000.0,434895000.0,15556500.0,17865750.0,164295500.0,7601750.0,2750000.0,14008750.0,67362250.0,17498500.0,483398000.0,7511.0,3880.0,3631.0,498.0,954.0,881.0,818.0,1665.0,2695.0,3983.0,0.0,28.0,0.0,28.0,0.0,0.0,5.0,19.0,4668053.0,2267076.25,2400976.75,728512.75,557677.5,564878.25,972476.25,512658.75,743965.0,661310.25,663535.75,661866.25,659727.75,659143.25,675473.75,686995.0,38.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,49.0,133709885.0,0.0,5.0,1362468.75,3305583.25
11110690,창신3동,종로구,37.5789527845504,127.01322280262201,216835,358820750.0,231113250.0,2313750.0,5115750.0,3702250.0,1077000.0,8596500.0,12185250.0,33846750.0,11228500.0,49641750.0,6338.0,3119.0,3219.0,706.0,826.0,903.0,799.0,1177.0,1927.0,2767.0,0.0,77.0,31.0,46.0,4.0,23.0,20.0,26.0,884414.5,413309.0,471105.25,115962.5,125495.5,136992.5,151451.75,90959.75,133422.0,124751.5,124624.75,125333.0,125681.25,122840.25,128090.5,133093.25,24.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,26.0,65.0,320701236.0,4.0,1.0,261183.75,623230.75
11110700,숭인1동,종로구,37.57718636818084,127.01689037280627,239396,960887500.0,495410750.0,3374000.0,3448000.0,151092500.0,8459000.0,18703000.0,10376500.0,14826250.0,42931250.0,212266250.0,5768.0,2797.0,2971.0,531.0,721.0,792.0,805.0,1099.0,1820.0,2990.0,0.0,211.0,96.0,115.0,37.0,49.0,52.0,50.0,2270714.5,1093307.25,1177407.25,330986.25,349052.75,342967.75,390076.25,277160.5,399511.0,321472.75,320289.5,322295.5,320339.75,319196.0,331057.25,336062.75,43.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,44.0,58.0,271960677.0,50.0,3.0,667120.0,1603593.5
11110710,숭인2동,종로구,37.57449185020222,127.02034243045807,351906,2285426500.0,557197500.0,225278500.0,36705000.0,286417750.0,4597750.0,31731500.0,74861000.0,152599000.0,107544000.0,808494500.0,9499.0,4638.0,4861.0,483.0,2234.0,1740.0,1013.0,1536.0,2493.0,6369.0,0.0,1325.0,671.0,654.0,185.0,234.0,319.0,325.0,5284261.75,2600010.5,2684250.75,1030836.0,872206.0,758887.0,895398.25,722992.5,826646.75,740089.0,740249.75,745162.75,747475.0,749953.0,766613.5,794717.5,89.0,4.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,3.0,2.0,6.0,181.0,52.0,167074058.0,23.0,5.0,1561331.0,3722929.5
11140520,소공동,중구,37.564255512847375,126.97437453532754,943795,2422727633500.0,1556543250.0,215138250.0,288857000.0,1692845000.0,32745622750.0,131367750.0,274341000.0,2368831814000.0,12357807250.0,4633297250.0,2178.0,1027.0,1151.0,289.0,218.0,442.0,514.0,320.0,395.0,1231.0,0.0,92258.0,48973.0,43285.0,26690.0,29120.0,20284.0,12220.0,2571007.25,1283606.0,1287401.5,419912.5,647984.5,611326.75,419904.0,608622.75,470448.5,413436.75,429599.25,436892.5,437551.0,422186.75,238169.25,193171.75,231.0,13.0,29.0,0.0,0.0,10.0,1.0,0.0,3.0,3.0,3.0,37.0,4.0,52.0,489545455.0,12.0,10.0,431341.0,2139666.25
11140540,회현동,중구,37.556939979505266,126.97710457297553,897827,477807476500.0,13470770250.0,1264026250.0,1135148750.0,4145406000.0,396497131750.0,67635750.0,65110500.0,40170233250.0,17699225750.0,3292788250.0,4380.0,2304.0,2076.0,365.0,418.0,528.0,531.0,793.0,1745.0,2491.0,0.0,69985.0,43262.0,26723.0,13133.0,24729.0,19174.0,10170.0,4375223.0,2057431.25,2317791.5,545258.0,955819.75,999261.25,798721.0,1113379.25,703203.0,693129.25,718613.75,724942.0,726926.5,709447.0,465157.5,337007.5,211.0,9.0,17.0,0.0,0.0,16.0,0.0,2.0,1.0,2.0,6.0,35.0,19.0,85.0,389399554.0,43.0,16.0,802165.0,3573058.5
11140550,명동,중구,37.56395091134355,126.98430107112212,969729,118846198500.0,2549828000.0,2133821250.0,3582181750.0,3417840500.0,31427720500.0,20496545000.0,323240750.0,9764395250.0,35795744500.0,9354881000.0,2392.0,988.0,1404.0,162.0,233.0,286.0,339.0,437.0,935.0,1191.0,0.0,120704.0,69872.0,50832.0,19744.0,40682.0,32795.0,21490.0,5674609.5,2761240.5,2913369.0,1146236.75,1316249.0,1295880.75,860172.75,1287154.75,1127657.0,887805.5,910006.5,931627.0,930482.75,908348.75,595507.25,510831.75,542.0,20.0,46.0,0.0,0.0,35.0,0.0,0.0,3.0,12.0,1.0,29.0,7.0,72.0,355854515.0,12.0,35.0,1106339.0,4568270.5
11140570,필동,중구,37.556869955485794,126.99377534693005,1464686,5513286250.0,932873500.0,57449000.0,72678000.0,462525000.0,164076500.0,159922750.0,334621250.0,320121000.0,77985750.0,2931033500.0,4012.0,2085.0,1927.0,336.0,748.0,697.0,476.0,567.0,1188.0,2495.0,0.0,16151.0,7598.0,8553.0,2319.0,4115.0,4992.0,3534.0,2585832.75,1348293.5,1237538.5,575805.0,486873.75,461184.75,428470.75,486753.25,497522.75,396039.5,411526.5,422611.75,421825.0,411554.5,279094.0,243181.0,123.0,6.0,9.0,1.0,0.0,7.0,0.0,0.0,2.0,1.0,2.0,15.0,31.0,63.0,248890227.0,4.0,8.0,522275.0,2063557.25
11140580,장충동,중구,37.555563653364366,127.00216161451516,1017925,2397613000.0,414225000.0,103600500.0,39480250.0,6288500.0,271590500.0,52777750.0,10319500.0,58183000.0,139873500.0,1301274500.0,4549.0,2371.0,2178.0,389.0,1271.0,663.0,499.0,578.0,1149.0,2833.0,0.0,4450.0,2358.0,2092.0,1024.0,1222.0,1151.0,860.0,2064753.0,1018420.75,1046332.25,608351.75,370204.5,318339.5,283090.5,331538.5,336709.5,304035.25,309619.25,313594.75,314138.75,303365.25,262430.25,257569.25,63.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,13.0,160.0,45.0,186105513.0,38.0,1.0,519999.5,1544753.25
11140590,광희동,중구,37.565159229901745,127.00376916205461,737204,10958546000.0,1386227000.0,3446834750.0,116591250.0,808249750.0,98893250.0,14758500.0,182379500.0,1803123000.0,631947750.0,2469541250.0,5676.0,2808.0,2868.0,307.0,1154.0,1222.0,673.0,758.0,1562.0,3859.0,0.0,52971.0,26362.0,26609.0,15198.0,13935.0,10903.0,8387.0,6546672.0,3262789.0,3283883.0,1422682.25,1386013.0,1197897.25,998236.0,1135512.0,1281637.0,987182.75,1008354.25,1030702.5,1037376.5,1013863.25,775694.25,693498.5,185.0,3.0,16.0,1.0,0.0,14.0,0.0,1.0,3.0,11.0,3.0,19.0,10.0,51.0,193927273.0,0.0,15.0,1469192.75,5077479.25
