행정동_코드,행정동_코드_명,자치구,업종_영문,업종_명,실제_소비액,기대_소비액,소비_격차_금액,소비_격차_비율_pct,잔차_ZScore
11200580,응봉동,성동구,지출_총금액,전체_총소비,496170250.0,1078950917.0,-582780667.0,-54.01,-1.009
11200590,금호1가동,성동구,지출_총금액,전체_총소비,1420875000.0,2015174418.0,-594299418.0,-29.49,-0.454
11200615,금호2?3가동,성동구,지출_총금액,전체_총소비,2721913250.0,4144958760.0,-1423045510.0,-34.33,-0.546
11200620,금호4가동,성동구,지출_총금액,전체_총소비,3118017000.0,3310471492.0,-192454492.0,-5.81,-0.078
11200645,옥수동,성동구,지출_총금액,전체_총소비,3932126750.0,5101410681.0,-1169283931.0,-22.92,-0.338
11200650,성수1가1동,성동구,지출_총금액,전체_총소비,3258161500.0,3790469787.0,-532308287.0,-14.04,-0.196
11200660,성수1가2동,성동구,지출_총금액,전체_총소비,20664076750.0,8274260303.0,12389816447.0,149.74,1.188
11200670,성수2가1동,성동구,지출_총금액,전체_총소비,8216624250.0,7463989370.0,752634880.0,10.08,0.125
11200690,성수2가3동,성동구,지출_총금액,전체_총소비,18067198750.0,18990732650.0,-923533900.0,-4.86,-0.065
11200720,송정동,성동구,지출_총금액,전체_총소비,870841000.0,1296799583.0,-425958583.0,-32.85,-0.517
11200790,용답동,성동구,지출_총금액,전체_총소비,17048551500.0,4337256852.0,12711294648.0,293.07,1.777
11215710,화양동,광진구,지출_총금액,전체_총소비,19530988500.0,10115001564.0,9415986936.0,93.09,0.854
11215730,군자동,광진구,지출_총금액,전체_총소비,6502511750.0,7659538266.0,-1157026516.0,-15.11,-0.213
11215740,중곡1동,광진구,지출_총금액,전체_총소비,5500819750.0,2328382719.0,3172437031.0,136.25,1.116
11215750,중곡2동,광진구,지출_총금액,전체_총소비,3941325750.0,5892948593.0,-1951622843.0,-33.12,-0.522
11215760,중곡3동,광진구,지출_총금액,전체_총소비,2432698250.0,2963107483.0,-530409233.0,-17.9,-0.256
11215770,중곡4동,광진구,지출_총금액,전체_총소비,3838938250.0,4607288897.0,-768350647.0,-16.68,-0.237
11215780,능동,광진구,지출_총금액,전체_총소비,6094311250.0,1460960848.0,4633350402.0,317.14,1.854
11215810,광장동,광진구,지출_총금액,전체_총소비,6006645250.0,12692823733.0,-6686178483.0,-52.68,-0.971
11215820,자양1동,광진구,지출_총금액,전체_총소비,6805857000.0,9012012776.0,-2206155776.0,-24.48,-0.365
11215830,자양2동,광진구,지출_총금액,전체_총소비,3912722000.0,3754742504.0,157979496.0,4.21,0.054
11215840,자양3동,광진구,지출_총금액,전체_총소비,4905074750.0,6911354060.0,-2006279310.0,-29.03,-0.445
11215847,자양4동,광진구,지출_총금액,전체_총소비,8709155250.0,5329894755.0,3379260495.0,63.4,0.638
11215850,구의1동,광진구,지출_총금액,전체_총소비,4538727750.0,5478942452.0,-940214702.0,-17.16,-0.244
11215860,구의2동,광진구,지출_총금액,전체_총소비,4702124000.0,5043297070.0,-341173070.0,-6.76,-0.091
11215870,구의3동,광진구,지출_총금액,전체_총소비,10048895000.0,9820313203.0,228581797.0,2.33,0.03
